ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
BP,CLIP enrichment,Negative,13,GO:0009306,protein secretion,43,-0.7179051318231607,0.0019207644731579,2.716525885673943
BP,CLIP enrichment,Negative,14,GO:0006493,protein O-linked glycosylation,45,-0.8158118623076928,0.00214448887230029,2.6686762029623847
BP,CLIP enrichment,Negative,15,GO:0006869,lipid transport,122,-1.6942104559188675,0.00288488147592257,2.539872024938124
BP,CLIP enrichment,Positive,1,GO:0034975,protein folding in endoplasmic reticulum,10,1.9007539868924008,7.457068279343301e-4,3.12743188034957
BP,CLIP enrichment,Positive,2,GO:0035987,endodermal cell differentiation,24,0.3408118616904232,0.0019207644731579,2.716525885673943
BP,CLIP enrichment,Positive,3,GO:0035633,maintenance of blood-brain barrier,26,0.04432113516121377,0.00214257617297878,2.66906372907044
BP,CLIP enrichment,Positive,4,GO:0006829,zinc ion transport,17,0.34969944388796137,0.0041216880994865,2.384924875680773
BP,CLIP enrichment,Positive,5,GO:2001046,positive regulation of integrin-mediated signaling pathway,10,1.4265791641396397,0.0041216880994865,2.384924875680773
BP,CLIP enrichment,Positive,6,GO:0071577,zinc ion transmembrane transport,20,0.0994283636274869,0.00528419378992137,2.2770212636634484
BP,CLIP enrichment,Positive,7,GO:0033627,cell adhesion mediated by integrin,14,0.8898842036767484,0.00656425125910258,2.182814803860054
BP,CLIP enrichment,Positive,8,GO:1903830,magnesium ion transmembrane transport,13,0.28015531975230373,0.00788808024023657,2.103028680253112
BP,CLIP enrichment,Positive,9,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,18,0.24762856725881344,0.01070154901545135,1.9705533550089152
BP,CLIP enrichment,Positive,10,GO:0015693,magnesium ion transport,12,0.3296795079749851,0.01163514895697335,1.9342280523619986
BP,CLIP enrichment,Positive,11,GO:0017121,plasma membrane phospholipid scrambling,13,0.2064188248420151,0.01243434654275423,1.9053770330987412
BP,CLIP enrichment,Positive,12,GO:0006613,cotranslational protein targeting to membrane,10,0.32050413208509704,0.01426826375790199,1.8456288710506281
BP,CLIP enrichment,Positive,13,GO:0051292,nuclear pore complex assembly,10,0.14356603679795424,0.02222774428581336,1.6531046081030973
BP,CLIP enrichment,Positive,14,GO:0045778,positive regulation of ossification,11,0.41061136187503217,0.03098639167578429,1.5088289938328105
BP,CLIP enrichment,Positive,15,GO:0014850,response to muscle activity,17,0.0025698542835376,0.03098639167578429,1.5088289938328105
BP,Expression change (KD),Negative,1,GO:0006865,amino acid transport,48,-0.4247557183067044,7.104340929375279e-4,3.1484762054229183
BP,Expression change (KD),Negative,2,GO:0071356,cellular response to tumor necrosis factor,64,-0.26699020661317757,0.01907652330442967,1.719500772571315
BP,Expression change (KD),Negative,3,GO:0003333,amino acid transmembrane transport,17,-0.5244160167999966,0.03673984847152353,1.434862639214666
BP,Expression change (KD),Positive,1,GO:0016567,protein ubiquitination,439,0.11161391983297166,0.01907652330442967,1.719500772571315
BP,Expression change (KD),Positive,2,GO:0051301,cell division,370,0.12990636009120776,0.01907652330442967,1.719500772571315
MF,CLIP enrichment,Negative,1,GO:0005509,calcium ion binding,365,-1.7512128884229774,4.0873790630521584e-8,7.388555084001654
MF,CLIP enrichment,Negative,2,GO:0045296,cadherin binding,284,-1.7058851640868151,1.848949008644168e-7,6.733075065893194
MF,CLIP enrichment,Negative,3,GO:0016757,glycosyltransferase activity,169,-1.4416760223174063,1.454630225276876e-6,5.837247392610465
MF,CLIP enrichment,Negative,4,GO:0005178,integrin binding,95,-0.8046554269490003,1.454630225276876e-6,5.837247392610465
MF,CLIP enrichment,Negative,5,GO:0005201,extracellular matrix structural constituent,68,-0.3874652309709478,1.454630225276876e-6,5.837247392610465
MF,CLIP enrichment,Negative,6,GO:0030246,carbohydrate binding,85,-0.923564157510889,3.4834213587516627e-6,5.457993989592085
MF,CLIP enrichment,Negative,7,GO:0001618,virus receptor activity,49,-0.2432643997614831,3.4834213587516627e-6,5.457993989592085
MF,CLIP enrichment,Negative,8,GO:0038023,signaling receptor activity,139,-1.448872093977493,1.2474845952324678e-5,4.903964808627892
MF,CLIP enrichment,Negative,9,GO:0050839,cell adhesion molecule binding,59,-0.9816790187884668,9.189299589275428e-5,4.036717589387008
MF,CLIP enrichment,Negative,10,GO:0005518,collagen binding,39,-0.4945154032930727,3.3504497872075223e-4,3.474896886399042
MF,CLIP enrichment,Negative,11,GO:0015026,coreceptor activity,31,-0.36622742196309377,0.0014941228081378,2.8256137045925
MF,CLIP enrichment,Negative,12,GO:0008375,acetylglucosaminyltransferase activity,18,-0.22934335957574573,0.00200975967489742,2.696855871985485
MF,CLIP enrichment,Negative,13,GO:0015485,cholesterol binding,35,-0.9457716292971228,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Negative,14,GO:0015035,protein-disulfide reductase activity,20,-0.11612229417507064,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Negative,15,GO:0008201,heparin binding,81,-1.5585627721316615,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Positive,1,GO:0019838,growth factor binding,35,0.2973963165150864,1.5041237409366928e-5,4.8227164338272255
MF,CLIP enrichment,Positive,2,GO:0003756,protein disulfide isomerase activity,14,1.028572056128369,8.672056695455173e-5,4.0618778915018545
MF,CLIP enrichment,Positive,3,GO:0005001,transmembrane receptor protein tyrosine phosphatase activity,11,1.4154552888004752,9.189299589275428e-5,4.036717589387008
MF,CLIP enrichment,Positive,4,GO:0005385,zinc ion transmembrane transporter activity,18,0.4127122567293036,7.299906553456865e-4,3.136682699273762
MF,CLIP enrichment,Positive,5,GO:0004653,polypeptide N-acetylgalactosaminyltransferase activity,12,1.1729078383857312,8.16589210943213e-4,3.0879963624227957
MF,CLIP enrichment,Positive,6,GO:0031994,insulin-like growth factor I binding,10,2.287509279543121,0.00105564147503719,2.976483555145868
MF,CLIP enrichment,Positive,7,GO:0019955,cytokine binding,21,0.3295081052150439,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Positive,8,GO:0017147,Wnt-protein binding,18,0.099960813683335,0.0037808941351441,2.4224054826920556
MF,CLIP enrichment,Positive,9,GO:0001968,fibronectin binding,20,0.00346434926369411,0.00682116314547624,2.1661415630868324
MF,CLIP enrichment,Positive,10,GO:0043395,heparan sulfate proteoglycan binding,10,0.32828402565257225,0.01407678509537057,1.8514965195379764
MF,CLIP enrichment,Positive,11,GO:0046873,metal ion transmembrane transporter activity,15,0.08585632988129094,0.01407678509537057,1.8514965195379764
MF,Expression change (KD),Negative,1,GO:0015293,symporter activity,63,-0.30334810233241183,0.01204286784632287,1.9192700793968898
ALL,CLIP enrichment,Negative,1,GO:0009986,cell surface,352,-1.1528559713506494,9.901459308736068e-21,20.004300792975616
ALL,CLIP enrichment,Negative,2,GO:0005788,endoplasmic reticulum lumen,204,-0.7333681900664446,2.0962688159933158e-18,17.678553026165037
ALL,CLIP enrichment,Negative,3,GO:0007155,cell adhesion,355,-1.3390418265348347,4.327157901965865e-15,14.363797256707622
ALL,CLIP enrichment,Negative,4,GO:0031012,extracellular matrix,221,-1.113194431984952,2.8969875761126924e-12,11.53805336728753
ALL,CLIP enrichment,Negative,5,GO:0005925,focal adhesion,360,-1.6374970714789434,5.8573989716157455e-12,11.232295193375162
ALL,CLIP enrichment,Negative,6,GO:0006486,protein glycosylation,143,-0.997726878097805,1.895025093840762e-9,8.722385034748987
ALL,CLIP enrichment,Negative,7,GO:0046718,symbiont entry into host cell,72,-0.370862663655858,4.961739422642936e-9,8.30436604745596
ALL,CLIP enrichment,Negative,8,GO:0042470,melanosome,85,-0.7323456158445104,9.58004676927394e-9,8.018632370713938
ALL,CLIP enrichment,Negative,9,GO:0005509,calcium ion binding,365,-1.7512128884229774,1.1908279074314741e-8,7.924150996076477
ALL,CLIP enrichment,Negative,10,GO:0016324,apical plasma membrane,199,-1.3349336481399563,3.67439728790659e-8,7.434813888145227
ALL,CLIP enrichment,Negative,11,GO:0001525,angiogenesis,183,-1.3729194414964816,5.299675959681549e-8,7.275750683837787
ALL,CLIP enrichment,Negative,12,GO:0005911,cell-cell junction,154,-1.2264774424741716,5.9400015724844564e-8,7.226213440048902
ALL,CLIP enrichment,Negative,13,GO:0016323,basolateral plasma membrane,150,-1.195168440377779,6.189136769920209e-8,7.208369919994967
ALL,CLIP enrichment,Negative,14,GO:0045296,cadherin binding,284,-1.7058851640868151,8.431477526740326e-8,7.074096313218323
ALL,CLIP enrichment,Negative,15,GO:0043235,receptor complex,103,-0.796709718663517,1.5671178449591309e-7,6.804898343996557
ALL,CLIP enrichment,Positive,1,GO:0019838,growth factor binding,35,0.2973963165150864,1.9719693835297544e-5,4.705099832126706
ALL,CLIP enrichment,Positive,2,GO:0003756,protein disulfide isomerase activity,14,1.028572056128369,1.0643722145125024e-4,3.9729064712508646
ALL,CLIP enrichment,Positive,3,GO:0005001,transmembrane receptor protein tyrosine phosphatase activity,11,1.4154552888004752,1.3493264541540107e-4,3.8698829650163056
ALL,CLIP enrichment,Positive,4,GO:0034975,protein folding in endoplasmic reticulum,10,1.9007539868924008,2.4167124787456896e-4,3.616775015426788
ALL,CLIP enrichment,Positive,5,GO:0035987,endodermal cell differentiation,24,0.3408118616904232,8.068612702386293e-4,3.0932011303945646
ALL,CLIP enrichment,Positive,6,GO:0035633,maintenance of blood-brain barrier,26,0.04432113516121377,9.378551119990204e-4,3.0278642500213584
ALL,CLIP enrichment,Positive,7,GO:0005385,zinc ion transmembrane transporter activity,18,0.4127122567293036,9.860498686798656e-4,3.006101120408874
ALL,CLIP enrichment,Positive,8,GO:0004653,polypeptide N-acetylgalactosaminyltransferase activity,12,1.1729078383857312,0.00115047697935074,2.9391220669918336
ALL,CLIP enrichment,Positive,9,GO:0031994,insulin-like growth factor I binding,10,2.287509279543121,0.00150261804093941,2.8231514011788126
ALL,CLIP enrichment,Positive,10,GO:0006829,zinc ion transport,17,0.34969944388796137,0.00220628977996083,2.656337446758536
ALL,CLIP enrichment,Positive,11,GO:2001046,positive regulation of integrin-mediated signaling pathway,10,1.4265791641396397,0.00220628977996083,2.656337446758536
ALL,CLIP enrichment,Positive,12,GO:0071682,endocytic vesicle lumen,10,0.706187600347033,0.00293757678979034,2.5320107718874167
ALL,CLIP enrichment,Positive,13,GO:0071577,zinc ion transmembrane transport,20,0.0994283636274869,0.00295966276143739,2.5287577717757723
ALL,CLIP enrichment,Positive,14,GO:0033627,cell adhesion mediated by integrin,14,0.8898842036767484,0.00368411407996668,2.4336669301763454
ALL,CLIP enrichment,Positive,15,GO:1903830,magnesium ion transmembrane transport,13,0.28015531975230373,0.0044212006607026,2.354459773748674
ALL,Expression change (KD),Negative,1,GO:0006865,amino acid transport,48,-0.4247557183067044,0.00108840697927548,2.963208682023564
ALL,Expression change (KD),Negative,2,GO:0071356,cellular response to tumor necrosis factor,64,-0.26699020661317757,0.01948388204832253,1.7103245082276395
ALL,Expression change (KD),Negative,3,GO:0015293,symporter activity,63,-0.30334810233241183,0.01948388204832253,1.7103245082276395
ALL,Expression change (KD),Negative,4,GO:0003333,amino acid transmembrane transport,17,-0.5244160167999966,0.04020470209838948,1.395723151493547
ALL,Expression change (KD),Negative,5,GO:0001725,stress fiber,70,-0.2410647186730763,0.04500702714552287,1.346719672618828
ALL,Expression change (KD),Positive,1,GO:0016567,protein ubiquitination,439,0.11161391983297166,0.01948388204832253,1.7103245082276395
ALL,Expression change (KD),Positive,2,GO:0051301,cell division,370,0.12990636009120776,0.01948388204832253,1.7103245082276395
ALL,Expression change (KD),Positive,3,GO:0030496,midbody,172,0.17604878113271624,0.01948388204832253,1.7103245082276395
